ForecastId,ConfirmedCases,Fatalities
283,6009.0,300.0
284,7608.0,380.0
285,9632.0,482.0
286,12195.0,610.0
287,15439.0,772.0
288,19546.0,977.0
289,24746.0,1237.0
290,31329.0,1566.0
291,39663.0,1983.0
292,50215.0,2511.0
293,63572.0,3179.0
294,80484.0,4024.0
295,101893.0,5095.0
296,128997.0,6450.0
297,163312.0,8166.0
298,206754.0,10338.0
299,261751.0,13088.0
300,331379.0,16569.0
301,419527.0,20976.0
302,0.0,0.0
303,2.0,0.0
304,2.0,0.0
305,2.0,0.0
306,2.0,0.0
307,3.0,0.0
308,4.0,0.0
309,5.0,0.0
310,6.0,0.0
311,7.0,0.0
312,8.0,0.0
313,10.0,0.0
314,11.0,0.0
315,14.0,0.0
316,16.0,0.0
317,19.0,0.0
318,23.0,0.0
319,27.0,0.0
320,32.0,0.0
321,38.0,0.0
322,45.0,0.0
323,53.0,0.0
324,63.0,0.0
325,74.0,0.0
326,88.0,0.0
327,104.0,0.0
328,124.0,0.0
329,147.0,0.0
330,174.0,0.0
331,206.0,10.0
332,244.0,12.0
333,289.0,14.0
334,342.0,17.0
335,405.0,20.0
336,480.0,24.0
337,569.0,28.0
338,674.0,34.0
339,798.0,40.0
340,945.0,47.0
341,1120.0,56.0
342,1326.0,66.0
343,1571.0,79.0
344,1861.0,93.0
345,0.0,0.0
346,1.0,0.0
347,1.0,0.0
348,1.0,0.0
349,2.0,0.0
350,2.0,0.0
351,3.0,0.0
352,4.0,0.0
353,5.0,0.0
354,6.0,0.0
355,8.0,0.0
356,10.0,0.0
357,12.0,0.0
358,15.0,0.0
359,19.0,0.0
360,24.0,0.0
361,31.0,0.0
362,39.0,0.0
363,49.0,0.0
364,62.0,0.0
365,78.0,0.0
366,98.0,0.0
367,123.0,0.0
368,155.0,0.0
369,195.0,0.0
370,246.0,12.0
371,310.0,15.0
372,390.0,20.0
373,491.0,25.0
374,619.0,31.0
375,779.0,39.0
376,981.0,49.0
377,1235.0,62.0
378,1555.0,78.0
379,1959.0,98.0
380,2467.0,123.0
381,3106.0,155.0
382,3911.0,196.0
383,4926.0,246.0
384,6203.0,310.0
385,7811.0,391.0
386,9836.0,492.0
387,12386.0,619.0
388,0.0,0.0
389,0.0,0.0
390,0.0,0.0
391,0.0,0.0
392,0.0,0.0
393,0.0,0.0
394,0.0,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,1.0,0.0
400,1.0,0.0
401,1.0,0.0
402,1.0,0.0
403,1.0,0.0
404,1.0,0.0
405,1.0,0.0
406,1.0,0.0
407,1.0,0.0
408,1.0,0.0
409,1.0,0.0
410,1.0,0.0
411,1.0,0.0
412,1.0,0.0
413,1.0,0.0
414,1.0,0.0
415,1.0,0.0
416,1.0,0.0
417,1.0,0.0
418,1.0,0.0
419,1.0,0.0
420,1.0,0.0
421,1.0,0.0
422,1.0,0.0
423,1.0,0.0
424,1.0,0.0
425,1.0,0.0
426,1.0,0.0
427,1.0,0.0
428,1.0,0.0
429,1.0,0.0
430,1.0,0.0
431,65.0,2.0
432,92.0,2.0
433,112.0,2.0
434,134.0,2.0
435,171.0,2.0
436,210.0,4.0
437,267.0,5.0
438,330.0,6.0
439,411.0,7.0
440,512.0,8.0
441,637.0,9.0
442,794.0,10.0
443,989.0,12.0
444,1233.0,14.0
445,1536.0,16.0
446,1914.0,18.0
447,2386.0,21.0
448,2974.0,24.0
449,3708.0,28.0
450,4622.0,32.0
451,5762.0,37.0
452,7184.0,43.0
453,8956.0,49.0
454,11166.0,57.0
455,13921.0,65.0
456,17357.0,75.0
457,21640.0,87.0
458,26981.0,100.0
459,33640.0,115.0
460,41943.0,133.0
461,52296.0,153.0
462,65203.0,176.0
463,81297.0,203.0
464,101363.0,234.0
465,126382.0,269.0
466,157577.0,310.0
467,196472.0,358.0
468,244968.0,412.0
469,305434.0,475.0
470,380825.0,547.0
471,474825.0,630.0
472,592028.0,726.0
473,738160.0,836.0
474,1.0,0.0
475,1.0,0.0
476,1.0,0.0
477,1.0,0.0
478,1.0,0.0
479,1.0,0.0
480,1.0,0.0
481,1.0,0.0
482,1.0,0.0
483,1.0,0.0
484,1.0,0.0
485,1.0,0.0
486,1.0,0.0
487,1.0,0.0
488,1.0,0.0
489,1.0,0.0
490,0.0,0.0
491,0.0,0.0
492,0.0,0.0
493,0.0,0.0
494,0.0,0.0
495,0.0,0.0
496,0.0,0.0
497,0.0,0.0
498,0.0,0.0
499,0.0,0.0
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.0,0.0
504,0.0,0.0
505,0.0,0.0
506,0.0,0.0
507,0.0,0.0
508,0.0,0.0
509,0.0,0.0
510,0.0,0.0
511,0.0,0.0
512,0.0,0.0
513,0.0,0.0
514,0.0,0.0
515,0.0,0.0
516,0.0,0.0
517,20.0,0.0
518,35.0,0.0
519,46.0,0.0
520,61.0,0.0
521,68.0,0.0
522,78.0,0.0
523,94.0,0.0
524,112.0,0.0
525,134.0,0.0
526,160.0,0.0
527,192.0,0.0
528,230.0,11.0
529,275.0,14.0
530,329.0,16.0
531,395.0,20.0
532,473.0,24.0
533,567.0,28.0
534,679.0,34.0
535,814.0,41.0
536,976.0,49.0
537,1169.0,58.0
538,1402.0,70.0
539,1681.0,84.0
540,2015.0,101.0
541,2416.0,121.0
542,2897.0,145.0
543,3474.0,174.0
544,4166.0,208.0
545,4995.0,250.0
546,5990.0,299.0
547,7183.0,359.0
548,8613.0,431.0
549,10329.0,516.0
550,12386.0,619.0
551,14853.0,743.0
552,17812.0,891.0
553,21360.0,1068.0
554,25615.0,1281.0
555,30718.0,1536.0
556,36838.0,1842.0
557,44177.0,2209.0
558,52977.0,2649.0
559,63531.0,3177.0
560,9.0,0.0
561,16.0,0.0
562,19.0,0.0
563,20.0,0.0
564,29.0,0.0
565,29.0,0.0
566,37.0,0.0
567,44.0,0.0
568,52.0,0.0
569,61.0,0.0
570,72.0,0.0
571,85.0,0.0
572,101.0,0.0
573,119.0,0.0
574,141.0,0.0
575,167.0,0.0
576,198.0,0.0
577,234.0,12.0
578,277.0,14.0
579,328.0,16.0
580,389.0,19.0
581,460.0,23.0
582,545.0,27.0
583,645.0,32.0
584,764.0,38.0
585,905.0,45.0
586,1072.0,54.0
587,1269.0,63.0
588,1503.0,75.0
589,1781.0,89.0
590,2109.0,105.0
591,2498.0,125.0
592,2958.0,148.0
593,3504.0,175.0
594,4150.0,208.0
595,4916.0,246.0
596,5823.0,291.0
597,6897.0,345.0
598,8169.0,408.0
599,9676.0,484.0
600,11460.0,573.0
601,13574.0,679.0
602,16079.0,804.0
603,3.0,0.0
604,5.0,0.0
605,5.0,0.0
606,6.0,0.0
607,7.0,0.0
608,7.0,0.0
609,10.0,0.0
610,12.0,0.0
611,14.0,0.0
612,17.0,0.0
613,20.0,0.0
614,23.0,0.0
615,27.0,0.0
616,32.0,0.0
617,38.0,0.0
618,45.0,0.0
619,53.0,0.0
620,63.0,0.0
621,75.0,0.0
622,88.0,0.0
623,104.0,0.0
624,123.0,0.0
625,146.0,0.0
626,172.0,0.0
627,203.0,10.0
628,240.0,12.0
629,284.0,14.0
630,335.0,17.0
631,396.0,20.0
632,467.0,23.0
633,552.0,28.0
634,652.0,33.0
635,771.0,39.0
636,910.0,46.0
637,1076.0,54.0
638,1271.0,64.0
639,1501.0,75.0
640,1773.0,89.0
641,2095.0,105.0
642,2475.0,124.0
643,2923.0,146.0
644,3453.0,173.0
645,4079.0,204.0
646,21.0,0.0
647,36.0,0.0
648,49.0,0.0
649,57.0,0.0
650,71.0,0.0
651,94.0,0.0
652,121.0,0.0
653,155.0,0.0
654,200.0,0.0
655,257.0,13.0
656,332.0,17.0
657,427.0,21.0
658,551.0,28.0
659,711.0,36.0
660,918.0,46.0
661,1185.0,59.0
662,1530.0,77.0
663,1976.0,99.0
664,2552.0,128.0
665,3296.0,165.0
666,4257.0,213.0
667,5499.0,275.0
668,7103.0,355.0
669,9175.0,459.0
670,11853.0,593.0
671,15312.0,766.0
672,19781.0,989.0
673,24307.0,1215.0
674,28891.0,1445.0
675,33532.0,1677.0
676,38232.0,1912.0
677,42988.0,2149.0
678,47803.0,2390.0
679,52674.0,2634.0
680,57604.0,2880.0
681,62591.0,3130.0
682,67635.0,3382.0
683,72738.0,3637.0
684,77897.0,3895.0
685,83114.0,4156.0
686,88389.0,4419.0
687,93721.0,4686.0
688,99111.0,4956.0
689,9.0,1.0
690,14.0,1.0
691,17.0,1.0
692,17.0,1.0
693,28.0,1.0
694,31.0,1.0
695,35.0,1.0
696,41.0,1.0
697,49.0,1.0
698,57.0,1.0
699,68.0,1.0
700,80.0,1.0
701,94.0,1.0
702,111.0,1.0
703,131.0,1.0
704,154.0,1.0
705,181.0,1.0
706,213.0,1.0
707,251.0,1.0
708,295.0,1.0
709,348.0,1.0
710,409.0,1.0
711,482.0,1.0
712,567.0,1.0
713,667.0,1.0
714,785.0,1.0
715,924.0,1.0
716,1087.0,1.0
717,1279.0,1.0
718,1505.0,1.0
719,1771.0,1.0
720,2084.0,1.0
721,2452.0,1.0
722,2886.0,1.0
723,3396.0,1.0
724,3995.0,1.0
725,4701.0,1.0
726,5532.0,1.0
727,6509.0,1.0
728,7659.0,1.0
729,9012.0,1.0
730,10604.0,1.0
731,12477.0,1.0
732,302.0,1.0
733,504.0,1.0
734,655.0,1.0
735,860.0,1.0
736,1018.0,3.0
737,1332.0,3.0
738,1646.0,4.0
739,2104.0,5.0
740,2643.0,6.0
741,3351.0,7.0
742,4227.0,9.0
743,5346.0,11.0
744,6751.0,13.0
745,8531.0,16.0
746,10774.0,19.0
747,13610.0,23.0
748,17188.0,28.0
749,21709.0,34.0
750,27416.0,42.0
751,34623.0,50.0
752,43724.0,61.0
753,55216.0,74.0
754,69728.0,90.0
755,88053.0,109.0
756,111193.0,132.0
757,140413.0,160.0
758,177312.0,194.0
759,223905.0,236.0
760,282742.0,286.0
761,357038.0,346.0
762,450856.0,420.0
763,569326.0,509.0
764,718924.0,617.0
765,907831.0,747.0
766,1146375.0,906.0
767,1447599.0,1098.0
768,1827971.0,1331.0
769,2308290.0,1613.0
770,2914816.0,1955.0
771,3680713.0,2369.0
772,4647855.0,2872.0
773,5869123.0,3481.0
774,6192926.0,4219.0
775,11.0,0.0
776,15.0,1.0
777,15.0,1.0
778,23.0,1.0
779,23.0,1.0
780,28.0,1.0
781,28.0,1.0
782,31.0,1.0
783,34.0,1.0
784,38.0,1.0
785,41.0,1.0
786,46.0,1.0
787,50.0,1.0
788,55.0,1.0
789,61.0,1.0
790,67.0,1.0
791,73.0,1.0
792,81.0,1.0
793,89.0,1.0
794,97.0,1.0
795,107.0,1.0
796,117.0,1.0
797,129.0,1.0
798,142.0,1.0
799,156.0,1.0
800,171.0,1.0
801,188.0,1.0
802,206.0,1.0
803,226.0,1.0
804,248.0,1.0
805,272.0,1.0
806,299.0,1.0
807,328.0,1.0
808,360.0,1.0
809,395.0,1.0
810,433.0,1.0
811,475.0,1.0
812,522.0,1.0
813,572.0,1.0
814,628.0,1.0
815,689.0,1.0
816,756.0,1.0
817,829.0,1.0
818,195.0,0.0
819,195.0,0.0
820,210.0,0.0
821,214.0,0.0
822,214.0,1.0
823,228.0,1.0
824,256.0,1.0
825,275.0,1.0
826,294.0,1.0
827,316.0,1.0
828,339.0,1.0
829,364.0,1.0
830,390.0,1.0
831,419.0,1.0
832,449.0,1.0
833,481.0,1.0
834,515.0,1.0
835,552.0,1.0
836,591.0,1.0
837,633.0,1.0
838,677.0,1.0
839,725.0,1.0
840,776.0,1.0
841,830.0,1.0
842,888.0,1.0
843,950.0,1.0
844,1016.0,1.0
845,1087.0,1.0
846,1162.0,1.0
847,1242.0,1.0
848,1328.0,1.0
849,1420.0,1.0
850,1517.0,1.0
851,1622.0,1.0
852,1733.0,1.0
853,1852.0,1.0
854,1979.0,1.0
855,2115.0,1.0
856,2260.0,1.0
857,2414.0,1.0
858,2579.0,1.0
859,2756.0,1.0
860,2944.0,1.0
861,3.0,0.0
862,3.0,0.0
863,3.0,0.0
864,5.0,0.0
865,8.0,0.0
866,10.0,0.0
867,14.0,1.0
868,18.0,0.0
869,24.0,0.0
870,31.0,0.0
871,40.0,0.0
872,53.0,0.0
873,69.0,0.0
874,90.0,0.0
875,117.0,0.0
876,153.0,0.0
877,199.0,0.0
878,259.0,0.0
879,338.0,0.0
880,440.0,0.0
881,574.0,0.0
882,748.0,0.0
883,976.0,0.0
884,1272.0,0.0
885,1658.0,0.0
886,2161.0,0.0
887,2817.0,0.0
888,3673.0,0.0
889,4787.0,0.0
890,6241.0,0.0
891,8135.0,0.0
892,10604.0,0.0
893,13823.0,0.0
894,18019.0,0.0
895,23489.0,0.0
896,30619.0,0.0
897,39913.0,0.0
898,52028.0,0.0
899,67821.0,0.0
900,88408.0,0.0
901,115244.0,0.0
902,150227.0,0.0
903,195828.0,0.0
904,0.0,0.0
905,0.0,0.0
906,0.0,0.0
907,0.0,0.0
908,0.0,0.0
909,2.0,0.0
910,2.0,0.0
911,2.0,0.0
912,2.0,0.0
913,2.0,0.0
914,2.0,0.0
915,2.0,0.0
916,2.0,0.0
917,2.0,0.0
918,2.0,0.0
919,2.0,0.0
920,2.0,0.0
921,2.0,0.0
922,2.0,0.0
923,2.0,0.0
924,2.0,0.0
925,2.0,0.0
926,2.0,0.0
927,2.0,0.0
928,2.0,0.0
929,2.0,0.0
930,2.0,0.0
931,2.0,0.0
932,2.0,0.0
933,2.0,0.0
934,2.0,0.0
935,2.0,0.0
936,2.0,0.0
937,2.0,0.0
938,2.0,0.0
939,2.0,0.0
940,2.0,0.0
941,2.0,0.0
942,2.0,0.0
943,2.0,0.0
944,2.0,0.0
945,2.0,0.0
946,2.0,0.0
947,12.0,0.0
948,27.0,0.0
949,27.0,0.0
950,27.0,0.0
951,36.0,0.0
952,36.0,0.0
953,51.0,0.0
954,61.0,0.0
955,72.0,0.0
956,85.0,0.0
957,101.0,0.0
958,120.0,0.0
959,142.0,0.0
960,168.0,0.0
961,199.0,0.0
962,236.0,12.0
963,279.0,14.0
964,330.0,17.0
965,391.0,20.0
966,463.0,23.0
967,548.0,27.0
968,649.0,32.0
969,768.0,38.0
970,909.0,45.0
971,1076.0,54.0
972,1274.0,64.0
973,1508.0,75.0
974,1785.0,89.0
975,2112.0,106.0
976,2500.0,125.0
977,2959.0,148.0
978,3502.0,175.0
979,4144.0,207.0
980,4905.0,245.0
981,5805.0,290.0
982,6870.0,344.0
983,8130.0,407.0
984,9622.0,481.0
985,11387.0,569.0
986,13477.0,674.0
987,15949.0,797.0
988,18875.0,944.0
989,22338.0,1117.0
990,314.0,3.0
991,559.0,3.0
992,689.0,4.0
993,886.0,4.0
994,1058.0,5.0
995,1243.0,10.0
996,1486.0,14.0
997,1785.0,19.0
998,2147.0,27.0
999,2582.0,37.0
1000,3105.0,52.0
1001,3734.0,72.0
1002,4489.0,100.0
1003,5396.0,138.0
1004,6486.0,192.0
1005,7794.0,266.0
1006,9366.0,369.0
1007,11253.0,511.0
1008,13520.0,709.0
1009,16242.0,982.0
1010,19512.0,1362.0
1011,23440.0,1887.0
1012,28157.0,2534.0
1013,33822.0,3044.0
1014,40627.0,3656.0
1015,48800.0,4392.0
1016,58615.0,5275.0
1017,70404.0,6336.0
1018,84564.0,7611.0
1019,101570.0,9141.0
1020,121995.0,10980.0
1021,146527.0,13187.0
1022,175991.0,15839.0
1023,211379.0,19024.0
1024,253882.0,22849.0
1025,304930.0,27444.0
1026,366241.0,32962.0
1027,439879.0,39589.0
1028,528322.0,47549.0
1029,634547.0,57109.0
1030,762129.0,68592.0
1031,915361.0,82382.0
1032,1099401.0,98946.0
1033,0.0,0.0
1034,0.0,0.0
1035,0.0,0.0
1036,0.0,0.0
1037,1.0,0.0
1038,1.0,0.0
1039,2.0,0.0
1040,3.0,0.0
1041,4.0,0.0
1042,7.0,0.0
1043,10.0,0.0
1044,15.0,0.0
1045,22.0,0.0
1046,32.0,0.0
1047,47.0,0.0
1048,70.0,0.0
1049,104.0,0.0
1050,154.0,0.0
1051,228.0,11.0
1052,338.0,17.0
1053,500.0,25.0
1054,741.0,37.0
1055,1098.0,55.0
1056,1626.0,81.0
1057,2409.0,120.0
1058,3569.0,178.0
1059,5287.0,264.0
1060,7833.0,392.0
1061,11604.0,580.0
1062,17192.0,860.0
1063,25469.0,1273.0
1064,37732.0,1887.0
1065,55899.0,2795.0
1066,82813.0,4141.0
1067,122686.0,6134.0
1068,181758.0,9088.0
1069,269271.0,13464.0
1070,398920.0,19946.0
1071,590992.0,29550.0
1072,875544.0,43777.0
1073,1297102.0,64855.0
1074,1921633.0,96082.0
1075,2846864.0,142343.0
1076,1.0,0.0
1077,1.0,0.0
1078,1.0,0.0
1079,1.0,0.0
1080,1.0,0.0
1081,1.0,0.0
1082,1.0,0.0
1083,1.0,0.0
1084,1.0,0.0
1085,1.0,0.0
1086,1.0,0.0
1087,1.0,0.0
1088,1.0,0.0
1089,1.0,0.0
1090,1.0,0.0
1091,1.0,0.0
1092,1.0,0.0
1093,1.0,0.0
1094,1.0,0.0
1095,1.0,0.0
1096,1.0,0.0
1097,1.0,0.0
1098,1.0,0.0
1099,1.0,0.0
1100,1.0,0.0
1101,1.0,0.0
1102,1.0,0.0
1103,1.0,0.0
1104,1.0,0.0
1105,1.0,0.0
1106,1.0,0.0
1107,1.0,0.0
1108,1.0,0.0
1109,1.0,0.0
1110,1.0,0.0
1111,1.0,0.0
1112,1.0,0.0
1113,1.0,0.0
1114,1.0,0.0
1115,1.0,0.0
1116,1.0,0.0
1117,1.0,0.0
1118,1.0,0.0
1119,2.0,0.0
1120,3.0,0.0
1121,10.0,0.0
1122,10.0,0.0
1123,11.0,0.0
1124,11.0,0.0
1125,12.0,0.0
1126,13.0,0.0
1127,14.0,0.0
1128,16.0,0.0
1129,17.0,0.0
1130,19.0,0.0
1131,20.0,0.0
1132,22.0,0.0
1133,24.0,0.0
1134,26.0,0.0
1135,28.0,0.0
1136,31.0,0.0
1137,33.0,0.0
1138,36.0,0.0
1139,39.0,0.0
1140,42.0,0.0
1141,46.0,0.0
1142,50.0,0.0
1143,54.0,0.0
1144,58.0,0.0
1145,63.0,0.0
1146,68.0,0.0
1147,74.0,0.0
1148,80.0,0.0
1149,87.0,0.0
1150,94.0,0.0
1151,101.0,0.0
1152,110.0,0.0
1153,119.0,0.0
1154,128.0,0.0
1155,139.0,0.0
1156,150.0,0.0
1157,162.0,0.0
1158,176.0,0.0
1159,190.0,0.0
1160,205.0,10.0
1161,222.0,11.0
1162,11.0,0.0
1163,13.0,0.0
1164,18.0,0.0
1165,24.0,0.0
1166,25.0,0.0
1167,26.0,0.0
1168,38.0,0.0
1169,47.0,0.0
1170,57.0,0.0
1171,70.0,0.0
1172,86.0,0.0
1173,106.0,0.0
1174,130.0,0.0
1175,159.0,0.0
1176,196.0,0.0
1177,240.0,12.0
1178,294.0,15.0
1179,361.0,18.0
1180,442.0,22.0
1181,542.0,27.0
1182,664.0,33.0
1183,814.0,41.0
1184,998.0,50.0
1185,1224.0,61.0
1186,1500.0,75.0
1187,1839.0,92.0
1188,2254.0,113.0
1189,2763.0,138.0
1190,3387.0,169.0
1191,4152.0,208.0
1192,5089.0,254.0
1193,6238.0,312.0
1194,7646.0,382.0
1195,9373.0,469.0
1196,11489.0,574.0
1197,14082.0,704.0
1198,17261.0,863.0
1199,21158.0,1058.0
1200,25934.0,1297.0
1201,31789.0,1589.0
1202,38965.0,1948.0
1203,47761.0,2388.0
1204,58542.0,2927.0
1205,52.0,0.0
1206,151.0,0.0
1207,151.0,0.0
1208,162.0,0.0
1209,200.0,0.0
1210,321.0,1.0
1211,372.0,3.0
1212,457.0,9.0
1213,611.0,27.0
1214,779.0,70.0
1215,980.0,88.0
1216,1258.0,113.0
1217,1609.0,145.0
1218,2048.0,184.0
1219,2613.0,235.0
1220,3336.0,300.0
1221,4255.0,383.0
1222,5426.0,488.0
1223,6923.0,623.0
1224,8831.0,795.0
1225,11263.0,1014.0
1226,14367.0,1293.0
1227,18325.0,1649.0
1228,23374.0,2104.0
1229,29813.0,2683.0
1230,38026.0,3422.0
1231,48501.0,4365.0
1232,61862.0,5568.0
1233,78902.0,7101.0
1234,100637.0,9057.0
1235,128359.0,11552.0
1236,163716.0,14734.0
1237,208813.0,18793.0
1238,266332.0,23970.0
1239,339695.0,30573.0
1240,433265.0,38994.0
1241,552610.0,49735.0
1242,704829.0,63435.0
1243,898977.0,80908.0
1244,1146603.0,103194.0
1245,1462439.0,131619.0
1246,1865272.0,167874.0
1247,2379067.0,214116.0
1248,11.0,0.0
1249,37.0,0.0
1250,40.0,0.0
1251,50.0,0.0
1252,54.0,0.0
1253,56.0,0.0
1254,68.0,0.0
1255,78.0,0.0
1256,89.0,0.0
1257,103.0,0.0
1258,117.0,0.0
1259,134.0,0.0
1260,154.0,0.0
1261,176.0,0.0
1262,201.0,10.0
1263,229.0,11.0
1264,262.0,13.0
1265,299.0,15.0
1266,341.0,17.0
1267,389.0,19.0
1268,444.0,22.0
1269,506.0,25.0
1270,577.0,29.0
1271,658.0,33.0
1272,750.0,38.0
1273,855.0,43.0
1274,975.0,49.0
1275,1112.0,56.0
1276,1267.0,63.0
1277,1444.0,72.0
1278,1646.0,82.0
1279,1876.0,94.0
1280,2138.0,107.0
1281,2437.0,122.0
1282,2777.0,139.0
1283,3164.0,158.0
1284,3606.0,180.0
1285,4109.0,205.0
1286,4682.0,234.0
1287,5335.0,267.0
1288,6079.0,304.0
1289,6927.0,346.0
1290,7893.0,395.0
1291,7.0,1.0
1292,23.0,1.0
1293,41.0,2.0
1294,51.0,2.0
1295,52.0,2.0
1296,67.0,2.0
1297,92.0,2.0
1298,118.0,2.0
1299,151.0,2.0
1300,193.0,2.0
1301,246.0,2.0
1302,315.0,3.0
1303,403.0,3.0
1304,514.0,3.0
1305,657.0,3.0
1306,839.0,3.0
